ID,first name الإسم الأول,last name اللقب,job المهنة,birth date تاريخ الإزدياد
66963028,كنان,ريناد,Customer service manager,1970-09-01
88577074,عبد الحكيم,شامل,"Optician, dispensing",1914-08-18
06083410,مجد,زياد,Environmental consultant,1980-04-29
78285163,نوّاف,سلام,Communications engineer,1972-12-12
67137824,عزّالدّين,ميار,Banker,1907-05-11
41087954,مالك,منيع,"Engineer, manufacturing systems",1910-12-25
64910994,حفيظ,نزيه,Research scientist (maths),1950-01-12
01293821,منيب,كرم,Retail merchandiser,1932-12-30
00979511,حسن,بنان,Hydrologist,1963-01-20
08690142,عبد التّواب,سليمان,Chartered public finance accountant,1906-04-02
96527351,عدلي,سلطان,Actor,1973-07-02
48726528,غالي,غيداء,Meteorologist,1993-08-28
97573906,كامل,ضحّاك,Make,1940-01-22
69857386,شبلي,شعلان,Customer service manager,1965-03-12
08445322,نوال,زيدان,Energy manager,1923-09-05
63308013,عبد القادر,عاطف,IT trainer,1932-06-21
69132391,عبّود,شادن,Water quality scientist,1916-01-26
64465708,معارف,مراد,Consulting civil engineer,2016-05-06
80945772,صنديد,مروان,Arts development officer,1977-05-07
84042064,ناردين,غزوان,Sports development officer,1969-04-30
22025418,مراد,ناصيف,Operational investment banker,2018-07-21
59018322,إخلاص,جميلة,Immunologist,1963-12-02
75689902,دليل,تميم,Ceramics designer,2012-04-01
17025065,منيع,نوح,Exhibition designer,1963-01-26
63214024,كنان,يانع,Recycling officer,1917-10-21
73242369,عرفان,فرات,"Psychologist, clinical",1957-09-20
45370915,عبد الرّزاق,مخلص,Cabin crew,1995-01-17
83078804,مشرق,رازي,Architect,1975-07-20
64227634,خلدون,حمزة,Arts administrator,1929-01-07
60255778,بثينة,كرمة,Printmaker,1973-07-04
31921114,ميار,ناجي,Theme park manager,2000-02-04
81747405,بنان,وصاف,"Scientist, research (life sciences)",1921-01-18
70614640,بهية,يسرى,Product/process development scientist,1964-07-18
19754741,زاهي,فاروق,"Psychologist, educational",1913-01-31
41690543,خليفة,لورين,"Nurse, mental health",1992-09-21
